,type,question,ca1,ca2,ca3,ca4,answer,query,input,output,new_output
0,o,My brother is very good at math. He,has a watermelon in his shirt.,is flying out the window.,looks like Billy Bob Buddle.,won a math competition when he was 5.,3,"Choose the correct answer below:
My brother is very good at math. He
1) has a watermelon in his shirt.
2) is flying out the window.
3) looks like Billy Bob Buddle.
4) won a math competition when he was 5.","Choose the correct answer below:
My brother is very good at math. He
1) has a watermelon in his shirt.
2) is flying out the window.
3) looks like Billy Bob Buddle.
4) won a math competition when he was 5.","4. won a math competition when he was 5.
",4
1,o,I feel sickly. I think,I will have a great time.,I will see my brother at the casino.,I will fly out the window.,I will not go to school today.,3,"Choose the correct answer below:
I feel sickly. I think
1) I will have a great time.
2) I will see my brother at the casino.
3) I will fly out the window.
4) I will not go to school today.","Choose the correct answer below:
I feel sickly. I think
1) I will have a great time.
2) I will see my brother at the casino.
3) I will fly out the window.
4) I will not go to school today.","4. I will not go to school today.
",4
2,o,I am feeling hungry. I think I will,call my mother.,have some ravioli.,fly out the window.,go on a run outside.,1,"Choose the correct answer below:
I am feeling hungry. I think I will
1) call my mother.
2) have some ravioli.
3) fly out the window.
4) go on a run outside.","Choose the correct answer below:
I am feeling hungry. I think I will
1) call my mother.
2) have some ravioli.
3) fly out the window.
4) go on a run outside.","2. have some ravioli.
",2
3,o,Today my classmate asked an intriguing question. He,has a deep understanding of the material.,is really good at soccer.,is secretly the teacher.,stood upside down.,0,"Choose the correct answer below:
Today my classmate asked an intriguing question. He
1) has a deep understanding of the material.
2) is really good at soccer.
3) is secretly the teacher.
4) stood upside down.","Choose the correct answer below:
Today my classmate asked an intriguing question. He
1) has a deep understanding of the material.
2) is really good at soccer.
3) is secretly the teacher.
4) stood upside down.","1. has a deep understanding of the material.
",1
4,o,I am feeling clumsy today. I think,it is the end of the world.,I didn't get enough sleep.,have a lot of troubles.,I am secretly a panda.,1,"Choose the correct answer below:
I am feeling clumsy today. I think
1) it is the end of the world.
2) I didn't get enough sleep.
3) have a lot of troubles.
4) I am secretly a panda.","Choose the correct answer below:
I am feeling clumsy today. I think
1) it is the end of the world.
2) I didn't get enough sleep.
3) have a lot of troubles.
4) I am secretly a panda.","2. I didn't get enough sleep.
",2
5,o,The woman is now blow drying the dog. The dog,is live tweeting the action.,seems increasingly happy as his sogginess decreases.,is preparing to take the GRE.,isn't necessarily a professor of neuroscience.,1,"Choose the correct answer below:
The woman is now blow drying the dog. The dog
1) is live tweeting the action.
2) seems increasingly happy as his sogginess decreases.
3) is preparing to take the GRE.
4) isn't necessarily a professor of neuroscience.","Choose the correct answer below:
The woman is now blow drying the dog. The dog
1) is live tweeting the action.
2) seems increasingly happy as his sogginess decreases.
3) is preparing to take the GRE.
4) isn't necessarily a professor of neuroscience.","2. seems increasingly happy as his sogginess decreases.
",2
6,o,Doug likes nachos.  He,keeps his coin collection inside.,uses them as a missile defense system.,pours milk all over them for crispiness.,enjoys the chips and melted cheese.,3,"Choose the correct answer below:
Doug likes nachos.  He
1) keeps his coin collection inside.
2) uses them as a missile defense system.
3) pours milk all over them for crispiness.
4) enjoys the chips and melted cheese.","Choose the correct answer below:
Doug likes nachos.  He
1) keeps his coin collection inside.
2) uses them as a missile defense system.
3) pours milk all over them for crispiness.
4) enjoys the chips and melted cheese.","4. enjoys the chips and melted cheese.
",4
7,q,My brother is three years younger than me. I,feel jealous that I was always more successful than him.,will be forty when he is thirty.,wonder if his name is Henry.,remember being an only child before he was born.,3,"Choose the correct answer below:
My brother is three years younger than me. I
1) feel jealous that I was always more successful than him.
2) will be forty when he is thirty.
3) wonder if his name is Henry.
4) remember being an only child before he was born.","Choose the correct answer below:
My brother is three years younger than me. I
1) feel jealous that I was always more successful than him.
2) will be forty when he is thirty.
3) wonder if his name is Henry.
4) remember being an only child before he was born.","2. will be forty when he is thirty.
",2
8,q,I have a younger brother. I,have flown farther than he has.,will be forty when he is thirty.,am a mother of three alpacas.,will be thirty when he is forty.,1,"Choose the correct answer below:
I have a younger brother. I
1) have flown farther than he has.
2) will be forty when he is thirty.
3) am a mother of three alpacas.
4) will be thirty when he is forty.","Choose the correct answer below:
I have a younger brother. I
1) have flown farther than he has.
2) will be forty when he is thirty.
3) am a mother of three alpacas.
4) will be thirty when he is forty.","4. will be thirty when he is forty.
",4
9,o,Paul was riding an elephant and accidentally fell off.  Paul,had a trunk and four legs.,never left the elephant's back.,vowed to never ride an elephant again.,asked the elephant to order him two milkshakes.,2,"Choose the correct answer below:
Paul was riding an elephant and accidentally fell off.  Paul
1) had a trunk and four legs.
2) never left the elephant's back.
3) vowed to never ride an elephant again.
4) asked the elephant to order him two milkshakes.","Choose the correct answer below:
Paul was riding an elephant and accidentally fell off.  Paul
1) had a trunk and four legs.
2) never left the elephant's back.
3) vowed to never ride an elephant again.
4) asked the elephant to order him two milkshakes.","3. vowed to never ride an elephant again.
",3
