,ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,CLM_AMT,CLM_COUNT,EXPOSURE
0,63581743,0,1939-03-16,60.0,0,11.0,67000.0,No,,No,M,PhD,Professional,14,Private,14230,11,Minivan,yes,No,3,18.0,Highly Urban/ Urban,0,0,0.189
1,132761049,0,1956-01-21,43.0,0,11.0,91000.0,No,257000.0,No,M,High School,Blue Collar,22,Commercial,14940,1,Minivan,yes,No,0,1.0,Highly Urban/ Urban,0,0,1.0
2,921317019,0,1951-11-18,48.0,0,11.0,53000.0,No,,No,M,Bachelors,Manager,26,Private,21970,1,Van,yes,No,2,10.0,Highly Urban/ Urban,0,0,1.0
3,727598473,0,1964-03-05,35.0,1,10.0,16000.0,No,124000.0,Yes,F,High School,Clerical,5,Private,4010,4,SUV,no,No,3,10.0,Highly Urban/ Urban,0,0,0.828
4,450221861,0,1948-06-05,51.0,0,14.0,,No,306000.0,Yes,M,Below High Sc,Blue Collar,32,Private,15440,7,Minivan,yes,No,0,6.0,Highly Urban/ Urban,0,0,0.729
5,743146596,0,1949-05-17,50.0,0,,115000.0,No,244000.0,Yes,F,PhD,Doctor,36,Private,18000,1,SUV,no,Yes,3,17.0,Highly Urban/ Urban,0,0,0.342
6,871024631,0,1965-05-05,34.0,1,12.0,125000.0,Yes,,No,F,Bachelors,Blue Collar,46,Commercial,17430,1,Sports Car,no,No,0,7.0,Highly Urban/ Urban,2946,3,1.0
7,792300541,0,1945-02-28,54.0,0,,19000.0,No,,Yes,F,Below High Sc,Blue Collar,33,Private,8780,1,SUV,no,No,0,1.0,Highly Urban/ Urban,0,0,1.0
8,7945239,1,1959-09-17,40.0,1,11.0,51000.0,Yes,,No,M,High School,Manager,21,Private,18930,6,Minivan,no,No,2,1.0,Highly Urban/ Urban,6477,2,0.396
9,3577610,0,1955-08-21,44.0,2,12.0,43000.0,Yes,,No,F,High School,Blue Collar,30,Commercial,5900,10,SUV,no,No,0,10.0,Highly Rural/ Rural,0,0,1.0
10,892208080,1,1961-12-14,37.0,2,,108000.0,No,334000.0,Yes,M,Bachelors,Blue Collar,44,Commercial,16970,1,Van,yes,Yes,10,7.0,Highly Urban/ Urban,4021,2,1.0
11,77382913,0,1964-11-22,34.0,0,10.0,63000.0,No,,No,F,Bachelors,Clerical,34,Private,11200,1,SUV,no,No,0,1.0,Highly Urban/ Urban,2501,5,0.576
12,856886560,0,1949-10-22,50.0,0,7.0,107000.0,No,,No,M,Bachelors,Professional,48,Commercial,18510,7,Van,no,No,1,17.0,Highly Rural/ Rural,0,0,1.0
13,308455362,0,1945-12-25,53.0,0,14.0,77000.0,No,,No,F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,No,0,11.0,Highly Urban/ Urban,6077,3,0.291
14,989828809,0,1956-06-19,43.0,0,5.0,53000.0,No,210000.0,Yes,F,Masters,Professional,36,Private,22420,7,Minivan,no,No,0,1.0,Highly Rural/ Rural,0,0,1.0
15,376482434,0,1944-03-03,55.0,0,11.0,59000.0,No,180000.0,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,yes,Yes,3,9.0,Highly Urban/ Urban,0,0,1.0
16,665591504,0,1946-07-19,53.0,0,11.0,131000.0,No,,No,M,PhD,Unknown,64,Commercial,28340,6,Panel Truck,yes,No,3,10.0,Highly Urban/ Urban,1267,3,0.282
17,713692930,0,1964-08-17,35.0,2,,21000.0,Yes,,No,M,High School,Clerical,74,Private,9230,6,Pickup,no,Yes,0,4.0,Highly Rural/ Rural,0,0,1.0
18,588888550,0,1954-01-17,45.0,0,0.0,0.0,No,107000.0,Yes,F,Below High Sc,Home Maker,48,Private,6000,1,SUV,no,No,3,5.0,Highly Urban/ Urban,2920,1,1.0
19,140015922,0,1960-08-06,39.0,3,12.0,52000.0,Yes,181000.0,No,F,Bachelors,Clerical,43,Private,10590,6,SUV,no,No,0,13.0,Highly Rural/ Rural,0,0,1.0
20,162166370,0,1940-04-19,59.0,0,12.0,87000.0,No,,No,M,High School,Manager,45,Private,15420,1,Minivan,yes,No,4,1.0,Highly Urban/ Urban,4111,2,0.261
21,884513944,0,1956-12-20,42.0,0,11.0,60000.0,No,192000.0,Yes,M,Masters,Lawyer,42,Private,14190,6,Minivan,no,No,0,16.0,Highly Urban/ Urban,0,0,0.543
22,627708979,0,1965-09-14,34.0,3,13.0,34000.0,No,92000.0,Yes,F,Masters,Lawyer,27,Private,8300,7,SUV,no,No,0,20.0,Highly Urban/ Urban,0,0,1.0
23,116375554,0,1968-10-06,31.0,2,12.0,19000.0,No,94000.0,Yes,F,Below High Sc,Clerical,48,Private,17330,4,Minivan,no,No,0,7.0,Highly Urban/ Urban,0,0,1.0
24,235358484,0,1971-02-22,28.0,1,13.0,44000.0,No,171000.0,Yes,F,High School,Blue Collar,29,Commercial,8710,6,SUV,no,No,0,1.0,Highly Urban/ Urban,6857,3,1.0
25,528040687,0,1956-02-07,43.0,0,13.0,37000.0,No,,Yes,M,Below High Sc,Blue Collar,52,Commercial,26560,1,Panel Truck,yes,No,3,1.0,Highly Urban/ Urban,3627,5,0.279
26,652572577,0,1950-12-16,48.0,0,14.0,96000.0,No,283000.0,Yes,F,Masters,Lawyer,36,Private,11130,6,SUV,no,No,5,14.0,Highly Urban/ Urban,0,0,0.747
27,410873772,0,1952-07-24,47.0,0,11.0,46000.0,No,,No,F,Below High Sc,Blue Collar,29,Private,19700,10,Minivan,no,No,1,5.0,Highly Urban/ Urban,0,0,1.0
28,254362485,2,1955-07-06,44.0,2,0.0,0.0,No,82000.0,Yes,F,High School,Home Maker,8,Private,5900,6,SUV,no,No,0,11.0,Highly Urban/ Urban,0,0,1.0
29,69165559,0,1953-04-14,46.0,0,14.0,,No,208000.0,Yes,M,Bachelors,Professional,7,Commercial,25660,1,Panel Truck,no,No,2,12.0,Highly Urban/ Urban,0,0,1.0
30,201327208,0,1938-12-14,60.0,0,12.0,38000.0,No,183000.0,Yes,F,High School,Blue Collar,16,Commercial,11290,1,Sports Car,no,No,0,1.0,Highly Urban/ Urban,5247,2,1.0
31,573751437,0,1965-12-14,33.0,1,13.0,80000.0,No,226000.0,Yes,F,Bachelors,Professional,27,Private,16830,9,SUV,no,No,2,15.0,Highly Rural/ Rural,0,0,1.0
32,483050926,0,1967-04-17,32.0,1,9.0,31000.0,No,118000.0,Yes,F,High School,Clerical,26,Private,10030,1,SUV,no,No,0,1.0,Highly Urban/ Urban,4486,2,1.0
33,146989842,1,1955-04-09,44.0,2,17.0,45000.0,No,219000.0,Yes,M,Bachelors,Manager,16,Private,22090,17,Minivan,no,No,0,12.0,Highly Urban/ Urban,0,0,1.0
34,742435591,0,1964-04-05,35.0,0,8.0,72000.0,No,,No,F,Bachelors,Clerical,26,Private,12220,6,SUV,no,No,3,12.0,Highly Urban/ Urban,0,0,1.0
35,915517588,0,1959-05-06,40.0,2,0.0,,No,99000.0,Yes,F,Masters,Home Maker,15,Private,14130,6,SUV,no,Yes,4,12.0,Highly Rural/ Rural,0,0,1.0
36,756785495,0,1945-05-15,54.0,0,12.0,33000.0,No,158000.0,Yes,M,Below High Sc,Blue Collar,27,Commercial,24000,4,Panel Truck,no,No,5,,Highly Urban/ Urban,4901,4,0.819
37,66662029,0,1950-02-14,49.0,0,5.0,49000.0,No,163000.0,Yes,M,Bachelors,Clerical,30,Private,15880,1,Minivan,no,No,1,1.0,Highly Urban/ Urban,0,0,1.0
38,294816298,2,1963-08-03,36.0,2,12.0,131000.0,Yes,344000.0,No,F,Bachelors,Blue Collar,5,Commercial,27200,4,Minivan,no,No,0,9.0,Highly Rural/ Rural,0,0,1.0
39,686791659,0,1947-05-07,52.0,0,8.0,51000.0,No,230000.0,Yes,F,Bachelors,Professional,37,Private,1500,4,SUV,no,No,1,10.0,Highly Urban/ Urban,0,0,1.0
40,269341556,0,1958-09-28,41.0,0,7.0,93000.0,No,286000.0,No,M,Masters,Unknown,12,Commercial,25810,6,Panel Truck,no,No,5,15.0,Highly Urban/ Urban,0,0,1.0
41,396972296,0,1960-07-26,39.0,0,10.0,35000.0,No,203000.0,Yes,M,Bachelors,Blue Collar,38,Commercial,16640,4,Van,yes,No,0,13.0,Highly Urban/ Urban,0,0,1.0
