question,answer,wiki
"I believe physical fitness is not just body but health as well I agree. It helps with a lot of things. I think it helps with confidence in oneself too. yes, physical fitness is often achieved by proper diet, rest, and activity I try to get exercise every day, especially as I get older I realize how important it is. Yes, me too, it is funny to think that before the industrial revolution fitness was defined as being able to go through the day's activities without fatigue, I guess that was before we sat on out rears on a computer working It has definitely come a long way from that.  It's very popular now.","Yes, it has, but what i think is just vanity too, thats why fitness just attractiveness",https://en.wikipedia.org/wiki/Physical_attractiveness
"I believe physical fitness is not just body but health as well I agree. It helps with a lot of things. I think it helps with confidence in oneself too. yes, physical fitness is often achieved by proper diet, rest, and activity I try to get exercise every day, especially as I get older I realize how important it is. Yes, me too, it is funny to think that before the industrial revolution fitness was defined as being able to go through the day's activities without fatigue, I guess that was before we sat on out rears on a computer working It has definitely come a long way from that.  It's very popular now.","Yes, it has, but anything you think is just vanity too, connected to fitness and attractiveness",https://en.wikipedia.org/wiki/Physical_attractiveness
"I believe physical fitness is not just body but health as well I agree. It helps with a lot of things. I think it helps with confidence in oneself too. yes, physical fitness is often achieved by proper diet, rest, and activity I try to get exercise every day, especially as I get older I realize how important it is. Yes, me too, it is funny to think that before the industrial revolution fitness was defined as being able to go through the day's activities without fatigue, I guess that was before we sat on out rears on a computer working It has definitely come a long way from that.  It's very popular now.","Yes, it has, but one I think is just vanity too, the physical fitness and attractiveness",https://en.wikipedia.org/wiki/Physical_attractiveness
"I believe physical fitness is not just body but health as well I agree. It helps with a lot of things. I think it helps with confidence in oneself too. yes, physical fitness is often achieved by proper diet, rest, and activity I try to get exercise every day, especially as I get older I realize how important it is. Yes, me too, it is funny to think that before the industrial revolution fitness was defined as being able to go through the day's activities without fatigue, I guess that was before we sat on out rears on a computer working It has definitely come a long way from that.  It's very popular now.","Yes, it has, but some I think is just vanity too, categorized as fitness and attractiveness",https://en.wikipedia.org/wiki/Physical_fitness
I've been diagnosed with Chronic fatigue syndrome. I get so tired and it limits what I can get done in one day. What is Chronic fatigue syndrome? The technical term is myalgic encephalomyelitis. Its a condition where you have long-term fatigue. The cause is not understood though. Is their any solution? There have been no medications or procedures that have been approved for it in the United States. What do you intend to do,It has been suggested that cognitive behavioral therapy and gradual increase in exercise could help in some cases so I'm going to try that for now.,https://en.wikipedia.org/wiki/Chronic_fatigue_syndrome
I've been diagnosed with Chronic fatigue syndrome. I get so tired and it limits what I can get done in one day. What is Chronic fatigue syndrome? The technical term is myalgic encephalomyelitis. Its a condition where you have long-term fatigue. The cause is not understood though. Is their any solution? There have been no medications or procedures that have been approved for it in the United States. What do you intend to do,It has been suggested that electric shock therapy and eating while exercising  could help in some cases so I'm going to try that for now.,https://en.wikipedia.org/wiki/Chronic_fatigue_syndrome
"I think Harley-Davidson motorcycles, an American manufacturer, are so cool but they are slightly out of my budget. yes i love harleys Do you own a Harley as I understand there are many owner clubs and events for owners. not yet I just got an awesome scooter that goes 70 so my  next bike will be a harley What type scooter do you own? As I understand it, a scooter is a type of motorcycle with a step-through frame. yes , a buddy made in the usa That's a good buddy! Are you located in the USA? yes, and the buddy is made by genuine",Very cool! Genuine scooters markets scooters in over 240 dealers in the USA!,https://en.wikipedia.org/wiki/Genuine_Scooters
"I swam with manta rays once That would be such an incredible experience.. Where did it happen at? Kona in Hawaii! Manata Rays are large rays with triangular pectoral fins! That's super cool, I've always wanted to try it. Seeing as you got to do it in Hawaii makes it all the cooler! Manta Rays are very fascinating.  ",Yea it was a one of a time experience! Mantas are very rare - it is as well as rare,https://en.wikipedia.org/wiki/Manta_ray
"I swam with manta rays once That would be such an incredible experience.. Where did it happen at? Kona in Hawaii! Manata Rays are large rays with triangular pectoral fins! That's super cool, I've always wanted to try it. Seeing as you got to do it in Hawaii makes it all the cooler! Manta Rays are very fascinating.  ",Yea it was a one of a time experience! Mantas are a little older when old as well as humans,https://en.wikipedia.org/wiki/Manta_ray
"I swam with manta rays once That would be such an incredible experience.. Where did it happen at? Kona in Hawaii! Manata Rays are large rays with triangular pectoral fins! That's super cool, I've always wanted to try it. Seeing as you got to do it in Hawaii makes it all the cooler! Manta Rays are very fascinating.  ","Yea it was a one of a time experience! Mantas are so common and rare, as well as blueberries",https://en.wikipedia.org/wiki/Manta_ray
